#,נישה,עיר,שאילתת חיפוש,תוצאות צפויות,שיעור ללא אתר,לידים צפויים,עדיפות,סטטוס
1,מספרה,תל אביב,מספרה תל אביב,20,35%,7,ג,לא הורץ
2,מספרה,ירושלים,מספרה ירושלים,20,35%,7,ג,לא הורץ
3,מספרה,חיפה,מספרה חיפה,20,35%,7,ג,לא הורץ
4,ברבר,ראשון לציון,ברבר ראשון לציון,20,40%,8,ב,לא הורץ
5,ברבר,פתח תקווה,ברבר פתח תקווה,20,40%,8,ב,לא הורץ
6,ברבר,אשדוד,ברבר אשדוד,20,40%,8,ב,לא הורץ
7,מניקור פדיקור,נתניה,מניקור פדיקור נתניה,20,45%,9,ב,לא הורץ
8,מניקור פדיקור,באר שבע,מניקור פדיקור באר שבע,20,45%,9,ב,לא הורץ
9,מניקור פדיקור,בני ברק,מניקור פדיקור בני ברק,20,45%,9,ב,לא הורץ
10,קוסמטיקאית,חולון,קוסמטיקאית חולון,20,40%,8,ב,לא הורץ
11,קוסמטיקאית,רמת גן,קוסמטיקאית רמת גן,20,40%,8,ב,לא הורץ
12,קוסמטיקאית,אשקלון,קוסמטיקאית אשקלון,20,40%,8,ב,לא הורץ
13,מאפרת כלות,רחובות,מאפרת כלות רחובות,20,45%,9,ב,לא הורץ
14,מאפרת כלות,בת ים,מאפרת כלות בת ים,20,45%,9,ב,לא הורץ
15,מאפרת כלות,כפר סבא,מאפרת כלות כפר סבא,20,45%,9,ב,לא הורץ
16,אינסטלטור,הרצליה,אינסטלטור הרצליה,20,55%,11,א,לא הורץ
17,אינסטלטור,חדרה,אינסטלטור חדרה,20,55%,11,א,לא הורץ
18,אינסטלטור,מודיעין,אינסטלטור מודיעין,20,55%,11,א,לא הורץ
19,חשמלאי,לוד,חשמלאי לוד,20,55%,11,א,לא הורץ
20,חשמלאי,רמלה,חשמלאי רמלה,20,55%,11,א,לא הורץ
21,חשמלאי,רעננה,חשמלאי רעננה,20,55%,11,א,לא הורץ
22,מנעולן,גבעתיים,מנעולן גבעתיים,20,50%,10,א,לא הורץ
23,מנעולן,קריית גת,מנעולן קריית גת,20,50%,10,א,לא הורץ
24,מנעולן,נצרת,מנעולן נצרת,20,50%,10,א,לא הורץ
25,הובלות,עפולה,הובלות עפולה,20,45%,9,ב,לא הורץ
26,הובלות,טבריה,הובלות טבריה,20,45%,9,ב,לא הורץ
27,הובלות,אילת,הובלות אילת,20,45%,9,ב,לא הורץ
28,חברת ניקיון,יבנה,חברת ניקיון יבנה,20,40%,8,ב,לא הורץ
29,חברת ניקיון,נס ציונה,חברת ניקיון נס ציונה,20,40%,8,ב,לא הורץ
30,חברת ניקיון,דימונה,חברת ניקיון דימונה,20,40%,8,ב,לא הורץ
31,גנן,תל אביב,גנן תל אביב,20,55%,11,א,לא הורץ
32,גנן,ירושלים,גנן ירושלים,20,55%,11,א,לא הורץ
33,גנן,חיפה,גנן חיפה,20,55%,11,א,לא הורץ
34,הדברה,ראשון לציון,הדברה ראשון לציון,20,40%,8,ב,לא הורץ
35,הדברה,פתח תקווה,הדברה פתח תקווה,20,40%,8,ב,לא הורץ
36,הדברה,אשדוד,הדברה אשדוד,20,40%,8,ב,לא הורץ
37,מוסך,נתניה,מוסך נתניה,20,35%,7,ג,לא הורץ
38,מוסך,באר שבע,מוסך באר שבע,20,35%,7,ג,לא הורץ
39,מוסך,בני ברק,מוסך בני ברק,20,35%,7,ג,לא הורץ
40,פנצ'ריה,חולון,פנצ'ריה חולון,20,60%,12,א,לא הורץ
